"","resp_id","site","Mig_status","Reason","hh_age","hh_size","dist2park","dist_mig","PA","new_dist","education","MigrantF","PC1","PC2","Sn","Cleared_land","z.Mig_status","z.Reason","z.hh_age","z.hh_size","z.dist2park","z.dist_mig","z.new_dist","z.PC1","z.PC2","z.Sn"
"1","AMB001","Zahamena",1,NA,5,2,2456,NA,"Established",NA,"Low","Non-migrant",-0.557005524741843,-0.422890442561919,184,"no",0.759664661424077,NA,-0.707446743742107,-1.47439349481123,0.236929220067683,NA,NA,-0.503876748702456,-0.44736211324108,-0.677554042675116
"2","AMB002","Zahamena",0,3,38,7,2330,0,"Established",8.828,"Low","Migrant",0.758474031539756,-1.41289527087852,185,"no",-1.31390979705491,-1.05232159792226,1.95055969608911,0.556503826826278,0.17450631859592,-0.421123474198945,-0.347896755776603,0.83740947175831,-1.42501470325322,-0.671961506568367
"3","AMB003","Zahamena",1,NA,13,7,2418,NA,"Established",NA,"Low","Non-migrant",0.579879299907725,-1.91546942486998,1,"yes",0.759664661424077,NA,-0.0630815462072659,0.556503826826278,0.218103265655564,NA,NA,0.655311124854276,-1.92131826589179,-1.70098815021029
"4","AMB004","Zahamena",0,2,38,9,2382,0,"Established",8.828,"Low","Migrant",-0.881157955426533,-0.376616378783199,2,"yes",-1.31390979705491,-2.21165895156542,1.95055969608911,1.36886275548128,0.200268150949346,-0.421123474198945,-0.347896755776603,-0.834388299817103,-0.401665408528459,-1.69539561410354
"5","AMB005","Zahamena",0,2,38,8,2485,0,"Established",8.828,"Low","Migrant",-0.218687588535817,-0.645152645517864,3,"yes",-1.31390979705491,-2.21165895156542,1.95055969608911,0.962683291153779,0.251296395803248,-0.421123474198945,-0.347896755776603,-0.158921797634613,-0.666851162351245,-1.68980307799679
"6","AMB006","Zahamena",1,NA,14,7,2401,NA,"Established",NA,"Low","Non-migrant",-0.22257008270173,-0.656078170604635,186,"no",0.759664661424077,NA,0.0174641034845892,0.556503826826278,0.209681128155405,NA,NA,-0.162880457349917,-0.677640370234692,-0.666368970461617
"7","AMB007","Zahamena",1,NA,8,4,2429,NA,"Established",NA,"Low","Non-migrant",-0.85656882570908,-0.307421386566984,187,"no",0.759664661424077,NA,-0.465809794666541,-0.662034566156227,0.22355288403802,NA,NA,-0.809316788286838,-0.333333758599961,-0.660776434354868
"8","AMB008","Zahamena",1,NA,8,6,2498,NA,"Established",NA,"Low","Non-migrant",-0.870924977654751,-0.637862236234552,4,"yes",0.759664661424077,NA,-0.465809794666541,0.150324362498776,0.257736853891605,NA,NA,-0.823954574705958,-0.659651715122086,-1.68421054189004
"9","AMB009","Zahamena",1,NA,49,5,2315,NA,"Established",NA,"Low","Non-migrant",0.862623305276695,-2.1552291750885,188,"no",0.759664661424077,NA,2.83656184269952,-0.255855101828725,0.167075020801662,NA,NA,0.943601913189493,-2.1580865462853,-0.655183898248118
"10","AMB010","Zahamena",1,NA,13,6,2262,NA,"Established",NA,"Low","Non-migrant",1.08773720784006,-2.30461792429099,189,"no",0.759664661424077,NA,-0.0630815462072659,0.150324362498776,0.140817768595285,NA,NA,1.17313202948858,-2.30561137990135,-0.649591362141368
"11","AMB011","Zahamena",1,NA,13,9,2324,NA,"Established",NA,"High","Non-migrant",2.33800737217055,-2.19395280277678,190,"no",0.759664661424077,NA,-0.0630815462072659,1.36886275548128,0.171533799478217,NA,NA,2.44792960065716,-2.19632702130247,-0.643998826034619
"12","AMB012","Zahamena",1,NA,3,4,2048,NA,"Established",NA,"Low","Non-migrant",-0.766659757061896,-0.44584799084106,191,"no",0.759664661424077,NA,-0.868538043125817,-0.662034566156227,0.0347979200638768,NA,NA,-0.717643911809908,-0.47003322139476,-0.638406289927869
