Sn,hhid,Cleared_land
335,AMP089,no
336,AMP091,no
337,AMP094,no
338,AMP096,no
339,AMP100,no
340,AMP102,no
341,AMP105,no
342,AMP106,no
343,AMP108,no
344,AMP110,no
345,AMP113,no
346,AMP115,no
347,AMP117,no
348,AMP118,no
349,AMP119,no
350,AMP120,no
351,AMP121,no
352,AMP125,no
353,AMP126,no
354,AMP127,no
355,AMP128,no
356,AMP133,no
357,AMP134,no
358,AMP137,no
359,AMP139,no
360,AMP140,no
361,AMP141,no
362,AMP147,no
363,AMP148,no
364,AMP149,no
365,AMP150,no
366,AMP151,no
367,AMP153,no
368,AMP154,no
369,AMP155,no
370,AMP158,no
371,AMP166,no
372,AMP167,no
373,AMP168,no
374,AMP169,no
375,AMP170,no
376,AMP171,no
377,AMP172,no
378,AMP174,no
379,AMP176,no
380,AMP177,no
381,AMP179,no
382,AMP180,no
383,AMP181,no
384,AMP184,no
385,AMP185,no
386,AMP186,no
387,AMP187,no
388,AMP190,no
389,AMP193,no
390,AMP199,no
391,ANT001,no
392,ANT003,no
393,ANT004,no
394,ANT006,no
395,ANT007,no
396,ANT008,no
397,ANT009,no
398,ANT010,no
399,ANT011,no
400,ANT012,no
401,ANT013,no
402,ANT014,no
403,ANT015,no
404,ANT016,no
405,ANT018,no
406,ANT019,no
407,ANT020,no
408,ANT021,no
409,ANT022,no
410,ANT023,no
411,ANT024,no
412,ANT026,no
413,ANT027,no
414,ANT028,no
415,ANT029,no
416,ANT030,no
417,ANT031,no
418,ANT033,no
419,ANT034,no
420,ANT035,no
421,ANT036,no
422,ANT037,no
423,ANT038,no
424,ANT039,no
425,ANT040,no
426,ANT041,no
427,ANT042,no
428,ANT043,no
429,ANT044,no
430,ANT045,no
431,ANT046,no
432,ANT048,no
433,ANT049,no
434,ANT050,no
435,ANT051,no
436,ANT053,no
437,ANT054,no
438,ANT055,no
439,ANT056,no
440,ANT057,no
441,ANT058,no
442,ANT059,no
443,ANT060,no
444,ANT061,no
