sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
13,AMP013,Ampahitra,Ampahitra,1,1,0.15,6,0,2,0,1,0
14,AMP014,Ampahitra,Ampahitra,1,1,0.13,5,1,1,1,0,0
16,AMP016,Ampahitra,Ampahitra,1,1,0.12,12,1,2,0,0,0
17,AMP017,Ampahitra,Ampahitra,1,1,4.3,9,2,2,0,1,0
18,AMP018,Ampahitra,Ampahitra,1,1,0.02,7,1,0,0,0,0
20,AMP020,Ampahitra,Ampahitra,1,1,0.01,4,1,0,0,0,0
21,AMP021,Ampahitra,Ampahitra,1,1,0.02,9,1,1,1,1,0
29,AMP029,Ampahitra,Ampahitra,1,1,0.04,6,1,0,0,0,0
32,AMP032,Ampahitra,Ampahitra,1,1,0.07,6,1,2,0,0,0
34,AMP034,Ampahitra,Ampahitra,1,1,0.56,10,1,1,0,0,0
35,AMP035,Ampahitra,Ampahitra,1,1,0,4,1,0,0,0,0
36,AMP036,Ampahitra,Ampahitra,1,1,0.05,5,1,2,0,0,0
37,AMP037,Ampahitra,Ampahitra,1,1,0,3,1,1,0,0,0
38,AMP038,Ampahitra,Ampahitra,1,1,0,3,1,1,0,0,0
39,AMP039,Ampahitra,Ampahitra,1,1,0.63,4,1,2,1,0,0
40,AMP040,Ampahitra,Ampahitra,1,1,0.01,2,0,2,0,0,0
41,AMP041,Ampahitra,Ampahitra,1,1,0.43,6,1,1,1,1,0
42,AMP042,Ampahitra,Ampahitra,1,1,0.03,3,1,0,0,0,0
43,AMP043,Ampahitra,Ampahitra,1,1,0.01,4,1,2,0,0,0
44,AMP044,Ampahitra,Ampahitra,1,1,1.7,7,1,2,0,0,0
48,AMP048,Ampahitra,Ampahitra,1,1,0.28,8,1,0,0,0,0
54,AMP054,Ampahitra,Ampahitra,1,1,0.1,4,1,0,0,0,0
55,AMP055,Ampahitra,Ampahitra,1,1,0.3,9,1,2,0,0,0
56,AMP056,Ampahitra,Ampahitra,1,1,0.02,2,1,0,0,0,0
