"","resp_id","site","Mig_status","Reason","hh_age","hh_size","dist2park","dist_mig","PA","new_dist","education","MigrantF","z.Mig_status","z.Reason","z.hh_age","z.hh_size","z.dist2park","z.dist_mig","c.PA","z.new_dist","c.education","c.MigrantF"
"1","AMB001","Zahamena",1,NA,5,2,2456,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.704593372954738,-1.4682642754564,0.233258483390118,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"2","AMB002","Zahamena",0,3,38,7,2330,0,"Established",8.828,"Low","Migrant",-1.30263266190122,-1.0151849945692,1.95441846653138,0.564717029021691,0.171078397863641,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"3","AMB003","Zahamena",1,NA,13,7,2418,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.0599844421702254,0.564717029021691,0.21450575918372,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"4","AMB004","Zahamena",0,2,38,9,2382,0,"Established",8.828,"Low","Migrant",-1.30263266190122,-2.13752840523182,1.95441846653138,1.37790955081293,0.19674002046187,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"5","AMB005","Zahamena",0,2,38,8,2485,0,"Established",8.828,"Low","Migrant",-1.30263266190122,-2.13752840523182,1.95441846653138,0.971313289917309,0.247569772916054,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"6","AMB006","Zahamena",1,NA,14,7,2401,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,0.0205916741778387,0.564717029021691,0.206116382565069,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"7","AMB007","Zahamena",1,NA,8,4,2429,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.462865023910546,-0.655071753665162,0.21993417934873,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"8","AMB008","Zahamena",1,NA,8,6,2498,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.462865023910546,0.158120768126074,0.253985178565611,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"9","AMB009","Zahamena",1,NA,49,5,2315,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,2.84075574636008,-0.248475492769544,0.163676006729536,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"10","AMB010","Zahamena",1,NA,13,6,2262,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.0599844421702254,0.158120768126074,0.137520891389034,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"11","AMB011","Zahamena",1,NA,13,9,2324,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,-0.0599844421702254,1.37790955081293,0.168117441409999,NA,-0.548148148148148,NA,0.9,0.37037037037037
"12","AMB012","Zahamena",1,NA,3,4,2048,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.865745605650866,-0.655071753665162,0.0319134445424768,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"13","AMB013","Zahamena",1,NA,2,6,1998,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.94632172199893,0.158120768126074,0.00723880742879527,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"14","AMB014","Zahamena",1,NA,4,5,2088,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,-0.785169489302802,-0.248475492769544,0.0516531542334221,NA,-0.548148148148148,NA,0.9,0.37037037037037
"15","AMB015","Zahamena",0,3,26,4,2323,35.197,"Established",42.406,"Low","Migrant",-1.30263266190122,-1.0151849945692,0.987505070354608,-0.655071753665162,0.167623948667725,-0.0851177625189249,-0.548148148148148,-0.00792535606007928,-0.1,-0.62962962962963
"16","AMB016","Zahamena",1,NA,31,8,2315,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,1.39038565209493,0.971313289917309,0.163676006729536,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"17","AMB017","Zahamena",1,NA,52,4,2313,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,3.08248409540427,-0.655071753665162,0.162689021244989,NA,-0.548148148148148,NA,0.9,0.37037037037037
"18","AMB018","Zahamena",1,NA,16,7,2328,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,0.181743906873967,0.564717029021691,0.170091412379094,NA,-0.548148148148148,NA,0.9,0.37037037037037
"19","AMB019","Zahamena",1,NA,6,8,2252,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.624017256606674,0.971313289917309,0.132585963966298,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"20","AMB020","Zahamena",1,NA,10,3,2294,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.301712791214418,-1.06166801456078,0.15331265914179,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"21","AMB021","Zahamena",1,NA,10,8,2358,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.301712791214418,0.971313289917309,0.184896194647303,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"22","AMB022","Zahamena",1,NA,2,7,2717,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.94632172199893,0.564717029021691,0.362060089123536,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"23","AMB023","Zahamena",1,NA,25,7,2351,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,0.906928954006544,0.564717029021691,0.181441745451387,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"24","AMB024","Zahamena",1,NA,39,3,2250,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,2.03499458287944,-1.06166801456078,0.13159897848175,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"25","AMB025","Zahamena",1,NA,3,3,2494,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,-0.865745605650866,-1.06166801456078,0.252011207596516,NA,-0.548148148148148,NA,0.9,0.37037037037037
"26","AMB026","Zahamena",1,NA,28,9,2006,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,1.14865730305074,1.37790955081293,0.0111867493669843,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"27","AMB027","Zahamena",1,NA,6,4,2098,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.624017256606674,-0.655071753665162,0.0565880816561584,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"28","AMB028","Zahamena",0,4,43,7,2071,0,"Established",8.828,"Low","Migrant",-1.30263266190122,0.107158416093416,2.3572990482717,0.564717029021691,0.0432637776147703,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"29","AMB029","Zahamena",0,3,20,7,2089,0,"Established",8.828,"Low","Migrant",-1.30263266190122,-1.0151849945692,0.504048372266223,0.564717029021691,0.0521466469756957,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"30","AMB030","Zahamena",0,3,20,9,2083,0,"Established",8.828,"Low","Migrant",-1.30263266190122,-1.0151849945692,0.504048372266223,1.37790955081293,0.0491856905220539,-0.422190471883088,-0.548148148148148,-0.345165270768911,-0.1,-0.62962962962963
"31","AMB031","Zahamena",1,NA,44,8,2269,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,2.43787516461976,0.971313289917309,0.140975340584949,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"32","AMB032","Zahamena",0,2,1,3,2207,0,"Established",8.828,"High","Migrant",-1.30263266190122,-2.13752840523182,-1.02689783834699,-1.06166801456078,0.110378790563984,-0.422190471883088,-0.548148148148148,-0.345165270768911,0.9,-0.62962962962963
"33","AMB033","Zahamena",1,NA,60,1,2458,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,3.72709302618879,-1.87486053635201,0.234245468874666,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"34","AMB034","Zahamena",1,NA,1,3,2403,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-1.02689783834699,-1.06166801456078,0.207103368049616,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"35","AMB035","Zahamena",0,6,3,4,2506,28.535,"Established",17.226,"Low","Migrant",-1.30263266190122,2.35184523741865,-0.865745605650866,-0.655071753665162,0.2579331205038,-0.148918040661495,-0.548148148148148,-0.260820139917616,-0.1,-0.62962962962963
"36","AMB036","Zahamena",1,NA,3,7,2475,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.865745605650866,0.564717029021691,0.242634845493317,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"37","AMB037","Zahamena",1,NA,35,7,2433,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,1.71269011748718,0.564717029021691,0.221908150317825,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"38","AMB038","Zahamena",1,NA,6,4,2493,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.624017256606674,-0.655071753665162,0.251517714854243,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"39","AMB039","Zahamena",1,NA,60,7,910,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,3.72709302618879,0.564717029021691,-0.529681296164915,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"40","AMB040","Zahamena",1,NA,3,8,763,NA,"Established",NA,"High","Non-migrant",0.766254507000716,NA,-0.865745605650866,0.971313289917309,-0.602224729279139,NA,-0.548148148148148,NA,0.9,0.37037037037037
"41","AMB041","Zahamena",1,NA,7,2,2256,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.54344114025861,-1.4682642754564,0.134559934935392,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"42","AMB042","Zahamena",1,NA,20,7,2203,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,0.504048372266223,0.564717029021691,0.10840481959489,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"43","AMB043","Zahamena",1,NA,12,6,2260,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,-0.14056055851829,0.158120768126074,0.136533905904487,NA,-0.548148148148148,NA,-0.1,0.37037037037037
"44","AMB044","Zahamena",1,NA,16,10,2276,NA,"Established",NA,"Low","Non-migrant",0.766254507000716,NA,0.181743906873967,1.78450581170854,0.144429789780865,NA,-0.548148148148148,NA,-0.1,0.37037037037037
